unnamed: 0,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money.1,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate,end_date_clean,end_date_parsed,ico_successful,name_std,symbol_std
9498,Delysium,14000000.0,,Utility,Gaming,,"3,000,000,000",Not Rated,20000.0,10 Apr – 11 Apr, 1 AGI = 0.033 USD ,14000000.0,Ended: 11 Apr 2023 ,ERC20,20%,,,USDT,,,11 Apr 2023,2023-04-11,1,delysium,delysium
9499,Moovy,3610000.0,"$3,610,000 (100%) ",Utility,Gaming,3610000.0,"100,000,000",Not Rated,50000.0,30 Mar – 11 Apr, 1 MOIL = 0.37 USD ,3610000.0,Ended: 11 Apr 2023 ,BEP-20,27%,,,USDT,,,11 Apr 2023,2023-04-11,1,moovy,moovy
9500,KryptAI,100000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,221700000000.0,31 Mar – 9 Apr, 1 KAI = 0.000857 USD ,100000.0,Ended: 9 Apr 2023 ,Own blockchain,35%,,,USDT,,,9 Apr 2023,2023-04-09,0,kryptai,kryptai
9501,Pomerium,20000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,,until 9 Apr,,20000000.0,Ended: 9 Apr 2023 ,BEP-20,,,,,,,9 Apr 2023,2023-04-09,0,pomerium,pomerium
9502,ChainGPT,905000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,720000.0,5 Apr – 8 Apr, 1 CGPT = 0.008 USD ,905000.0,Ended: 8 Apr 2023 ,BEP-20,19%,,,USDT,,,8 Apr 2023,2023-04-08,1,chaingpt,chaingpt
9503,Glory Finance,3500000.0,,Utility,DeFi,,"150,000,000",Not Rated,175000.0,4 Apr – 8 Apr, 1 GLR = 0.8 USD ,3500000.0,Ended: 8 Apr 2023 ,BEP-20,10%,,,USDT,,,8 Apr 2023,2023-04-08,1,gloryfinance,gloryfinance
9504,Arken Finance,,,Utility,Blockchain Service,,"10,000,000,000",Not Rated,2250000.0,3 Apr – 6 Apr, 1 ARKEN = 0.004 USD ,,Ended: 6 Apr 2023 ,Own blockchain,,,,USDT,,,6 Apr 2023,2023-04-06,0,arkenfinance,arkenfinance
9505,Stella Fantasy,5000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,150000.0,4 Apr – 5 Apr, 1 SFTY = 0.1 USD ,5000000.0,Ended: 5 Apr 2023 ,ERC20,"13,2%",,,USDT,,,5 Apr 2023,2023-04-05,1,stellafantasy,stellafantasy
9506,WiFi Map,1700000.0,"$1,700,000 (100%) ",Utility,Platform,1700000.0,"1,000,000,000",Not Rated,500000.0,30 Mar – 1 Apr, 1 WIFI = 0.025 USD ,1700000.0,Ended: 1 Apr 2023 ,Polygon,"11,4%",,,USDT,,,1 Apr 2023,2023-04-01,1,wifimap,wifimap
9507,Coniun,538000.0,"$700,000 (77%) ",Utility,Blockchain Service,700000.0,"100,000,000",Not Rated,315000.0,30 Mar – 31 Mar, 1 CONI = 0.045 USD ,538000.0,Ended: 31 Mar 2023 ,ERC20,19%,,,USDT,,,31 Mar 2023,2023-03-31,1,coniun,coniun
9508,Alaska Gold Rush,150000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,100000.0,29 Mar – 30 Mar, 1 CARAT = 0.03 USD ,150000.0,Ended: 30 Mar 2023 ,BEP-20,30%,,,USDT,,,30 Mar 2023,2023-03-30,1,alaskagoldrush,alaskagoldrush
9509,ARTT Network,225000.0,"$230,000 (100%) ",Utility,Platform,230000.0,"2,000,000,000",Not Rated,100000.0,27 Mar – 30 Mar, 1 ARTT = 0.1 USD ,225000.0,Ended: 30 Mar 2023 ,BEP-20,,,,USDT,,,30 Mar 2023,2023-03-30,1,arttnetwork,arttnetwork
9510,NuriTopia,,,Utility,Platform,,"5,000,000,000",Not Rated,120000.0,23 Mar – 24 Mar, 1 NBLU = 0.015 USD ,,Ended: 24 Mar 2023 ,BEP-20,8%,,,USDT,,,24 Mar 2023,2023-03-24,0,nuritopia,nuritopia
9511,Arbitrum,123700000.0,,Utility,Blockchain Service,,"10,000,000,000","
Very High ",,24 Jun – 23 Mar,,123700000.0,Ended: 23 Mar 2023 ,ERC20,,,,USDT,,,23 Mar 2023,2023-03-23,0,arbitrum,arbitrum
9512,Mintlayer,5200000.0,,Utility,DeFi,,"400,000,000",Not Rated,100000.0,22 Mar – 23 Mar, 1 ML = 0.25 USD ,5200000.0,Ended: 23 Mar 2023 ,ERC20,"33,77%",,,USDT,,,23 Mar 2023,2023-03-23,1,mintlayer,mintlayer
9513,OVO NFT Platform,,,Utility,Platform,,"240,000,000",Not Rated,150000.0,21 Mar – 22 Mar, 1 OVO = 0.16 USD ,,Ended: 22 Mar 2023 ,ERC20,"18,75%",,,USDT,,,22 Mar 2023,2023-03-22,0,ovonftplatform,ovonftplatform
9514,Space ID,12500000.0,,Utility,Blockchain Service,,"2,000,000,000",Not Rated,2500000.0,17 Mar – 22 Mar, 1 ID = 0.025 USD ,12500000.0,Ended: 22 Mar 2023 ,BEP-20,,,,USDT,,,22 Mar 2023,2023-03-22,1,spaceid,spaceid
9515,Minima,2500000.0,"$4,500,000 (56%) ",Utility,Blockchain,4500000.0,"60,000,000",Not Rated,4500000.0,14 Feb – 21 Mar, 1 WMINIMA = 0.3 USD ,2500000.0,Ended: 21 Mar 2023 ,ERC20,6%,,,USDT,,,21 Mar 2023,2023-03-21,0,minima,minima
9516,NeoCortexAI,860000.0,"$860,000 (100%) ",Utility,Platform,860000.0,"1,000,000,000",Not Rated,275000.0,13 Mar – 20 Mar, 1 CORAI = 0.005 USD ,860000.0,Ended: 20 Mar 2023 ,BEP-20,"20,5%",,,USDT,,,20 Mar 2023,2023-03-20,1,neocortexai,neocortexai
9517,InteractWith,1620000.0,"$1,620,000 (100%) ",Utility,Blockchain Service,1620000.0,"100,000,000",Not Rated,825000.0,15 Mar – 19 Mar, 1 INTER = 0.15 USD ,1620000.0,Ended: 19 Mar 2023 ,ERC20,13%,,,USDT,,,19 Mar 2023,2023-03-19,1,interactwith,interactwith
9518,Honeyland,230000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,220500.0,14 Mar – 18 Mar, 1 HXD = 0.035 USD ,230000.0,Ended: 18 Mar 2023 ,Solana,23%,,,USDT,,,18 Mar 2023,2023-03-18,1,honeyland,honeyland
9519,OpiPets,6900000.0,"$6,900,000 (100%) ",Utility,Gaming,6900000.0,"500,000,000",Not Rated,2400000.0,4 Mar – 18 Mar, 1 OPIP = 0.12 USD ,6900000.0,Ended: 18 Mar 2023 ,BEP-20,14%,,,USDT,,,18 Mar 2023,2023-03-18,1,opipets,opipets
9520,dAngel Fund,,,Utility,Platform,,"250,000,000",Not Rated,,10 Mar – 17 Mar,,,Ended: 17 Mar 2023 ,NEAR Blockchain,20%,,,,,,17 Mar 2023,2023-03-17,0,dangelfund,dangelfund
9521,Degen Zoo,2400000.0,"$2,400,000 (100%) ",Utility,Gaming,2400000.0,"1,000,000,000",Not Rated,2400000.0,24 Feb – 15 Mar, 1 DZOO = 0.006 USD ,2400000.0,Ended: 15 Mar 2023 ,BEP-20,40%,,,USDT,,,15 Mar 2023,2023-03-15,1,degenzoo,degenzoo
9522,Rejuve.AI,2250000.0,"$3,750,000 (60%) ",Utility,Artificial Intelligence,3750000.0,"1,000,000,000",Not Rated,1500000.0,March (no exact dates), 1 RJV = 0.015 ETH ,2250000.0,Ended: 15 Mar 2023 ,ERC20,"27,42%",,,USDT,,,15 Mar 2023,2023-03-15,1,rejuveai,rejuveai
9523,Staika,,,Utility,Platform,,"250,000,000",Not Rated,50000.0,14 Mar – 15 Mar, 1 STIK = 0.25 USD ,,Ended: 15 Mar 2023 ,ERC20,12%,,,USDT,,,15 Mar 2023,2023-03-15,0,staika,staika
9524,PodFast,780000.0,"$780,000 (100%) ",Utility,Artificial Intelligence,780000.0,"100,000,000",Not Rated,780000.0,3 Mar – 14 Mar, 1 FAST = 0.0195 USD ,780000.0,Ended: 14 Mar 2023 ,BEP-20,40%,,,USDT,,,14 Mar 2023,2023-03-14,1,podfast,podfast
9525,Your Open Metaverse,3085000.0,"$3,090,000 (100%) ",Utility,Blockchain Service,3090000.0,"300,000,000",Not Rated,300000.0, 27 Feb – 13 Mar, 1 YOM = 0.075 USD ,3085000.0,Ended: 13 Mar 2023 ,Solana,30%,,,USDT,,,13 Mar 2023,2023-03-13,1,youropenmetaverse,youropenmetaverse
9526,G4AL,1600000.0,,Utility,Platform,,"10,000,000,000",Not Rated,125000000000.0,9 Mar – 11 Mar, 1 GGT = 0.004 USD ,1600000.0,Ended: 11 Mar 2023 ,ERC20,"16,25%",,,USDT,,,11 Mar 2023,2023-03-11,0,g4al,g4al
9527,Exorde,2500000.0,"$6,180,000 (40%) ",Utility,Blockchain Service,6180000.0,"200,000,000",Not Rated,4175000.0,14 Feb – 10 Mar, 1 EXD = 0.35 USD ,2500000.0,Ended: 10 Mar 2023 ,ERC20,"14,4%",,,USDT,,,10 Mar 2023,2023-03-10,0,exorde,exorde
9528,Mizar,3400000.0,,Utility,Platform,,"10,000,000,000",Not Rated,100000000000.0,6 Mar – 8 Mar, 1 MZR = 0.002 USD ,3400000.0,Ended: 8 Mar 2023 ,BEP-20,,,,,,,8 Mar 2023,2023-03-08,0,mizar,mizar
9529,Dsync,1700000.0,"$1,700,000 (100%) ",Utility,Protocol,1700000.0,"470,000,000",Not Rated,900000.0,25 Feb – 7 Mar, 1 DSYNC = 0.025 USD ,1700000.0,Ended: 7 Mar 2023 ,ERC20,"14,9%",,,USDT,,,7 Mar 2023,2023-03-07,1,dsync,dsync
9530,CryptoGPT,,,Utility,Blockchain,,"3,000,000,000",Not Rated,150000.0,23 Feb – 7 Mar, 1 GPT = 0.005 USD ,,Ended: 7 Mar 2023 ,Own blockchain,20%,,,USDT,,,7 Mar 2023,2023-03-07,0,cryptogpt,cryptogpt
9531,SHELTERZ,3585000.0,"$3,590,000 (100%) ",Utility,Blockchain Service,3590000.0,"1,000,000,000",Not Rated,510000.0,18 Feb – 5 Mar, 1 TERZ = 0.017 USD ,3585000.0,Ended: 5 Mar 2023 ,BEP-20,18%,,,USDT,,,5 Mar 2023,2023-03-05,1,shelterz,shelterz
9532,HALO,,,Utility,Blockchain Service,,"500,000,000",Not Rated,50000.0,2 Mar – 3 Mar, 1 HALO = 0.02 USD ,,Ended: 3 Mar 2023 ,BEP-20,,,,,,,3 Mar 2023,2023-03-03,0,halo,halo
9533,PARMA Fan Token,2500000.0,"$2,500,000 (100%) ",Utility,Currency,2500000.0,"20,000,000",Not Rated,1500000000.0,20 Feb – 1 Mar, 1 PARMA = 1 USD ,2500000.0,Ended: 1 Mar 2023 ,BEP-20,"14,5%",,,USDT,,,1 Mar 2023,2023-03-01,0,parmafantoken,parmafantoken
9534,Manta Network Crowdloan,6600000.0,,Utility,Protocol,,"1,000,000,000",Not Rated,156000005000.0,4 Nov – 1 Mar,,6600000.0,Ended: 1 Mar 2023 ,Polkadot,15.6%,,,,,"USA, US non-accredited investors",1 Mar 2023,2023-03-01,0,mantanetworkcrowdloan,mantanetworkcrowdloan
9535,AngelBlock,4200000.0,"$5,350,000 (79%) ",Utility,Protocol,5350000.0,"400,000,000",Not Rated,,16 Feb – 1 Mar, 1 THOL = 0.1 USD ,4200000.0,Ended: 1 Mar 2023 ,ERC20,"8,25%",,,USDT,,,1 Mar 2023,2023-03-01,0,angelblock,angelblock
9536,Iron Fish,32900000.0,,Utility,Blockchain Service,,,Ticker: IRON,,until 1 Mar,,32900000.0,Ended: 1 Mar 2023 ,ERC20,,,,USDT,,,1 Mar 2023,2023-03-01,0,ironfish,ironfish
9537,Black Stallion,,,Utility,Platform,,"240,000,000",Not Rated,1060000.0,7 Feb – 25 Feb, 1 BS = 0.3 USD ,,Ended: 25 Feb 2023 ,Polygon,"6,75%",,,USDT,,,25 Feb 2023,2023-02-25,0,blackstallion,blackstallion
9538,Beldex,25000000.0,,Utility,Blockchain Service,,"9,914,701,267",Not Rated,,until 24 Feb,,25000000.0,Ended: 24 Feb 2023 ,ERC20,,,,USDT,,,24 Feb 2023,2023-02-24,0,beldex,beldex
9539,Deepwaters,6600000.0,"$6,600,000 (100%) ",Utility,Exchange,6600000.0,"350,000,000",Not Rated,800000.0,15 Feb – 18 Feb, 1 WTR = 0.12 USD ,6600000.0,Ended: 18 Feb 2023 ,ERC20,"13,1%",,,USDT,,,18 Feb 2023,2023-02-18,1,deepwaters,deepwaters
9540,Carbon,1200000.0,"$1,200,000 (100%) ",Utility,Blockchain Service,1200000.0,"1,000,000,000",Not Rated,750000.0,30 Jan – 15 Feb, 1 CSIX = 0.01 USD ,1200000.0,Ended: 15 Feb 2023 ,BEP-20,14%,,,USDT,,,15 Feb 2023,2023-02-15,1,carbon,carbon
9541,Tatsumeeko,7560000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,60000.0,until 15 Feb,,7560000.0,Ended: 15 Feb 2023 ,ERC20,,,,USDT,,,15 Feb 2023,2023-02-15,1,tatsumeeko,tatsumeeko
9542,IguVerse,1970000.0,,Governance,Gaming,,"1,000,000,000",Not Rated,250000.0,30 Jan – 14 Feb, 1 IGU = 0.08 USD ,1970000.0,Ended: 14 Feb 2023 ,BEP-20,"6,5%",,"Yes (period isn't set, ",,,,14 Feb 2023,2023-02-14,1,iguverse,iguverse
9543,HoneyWood,470000.0,,Utility,Gaming,,"18,993,665",Not Rated,20000.0,13 Feb – 14 Feb, 1 CONE = 0.17 USD ,470000.0,Ended: 14 Feb 2023 ,Own blockchain,"16,83%",,,USDT,,,14 Feb 2023,2023-02-14,1,honeywood,honeywood
9544,Ikonic,3250000.0,,Utility,Platform,,"1,500,000,000",Not Rated,60000000000.0,18 Oct – 11 Feb, 1 IKONIC = 0.01 USD ,3250000.0,Ended: 11 Feb 2023 ,ERC20,32%,,,USDT,,,11 Feb 2023,2023-02-11,0,ikonic,ikonic
9545,Pine,4500000.0,,Utility,Protocol,,"200,000,000",Not Rated,268000.0,17 Nov – 8 Feb, 1 PINE = 0.2 USD ,4500000.0,Ended: 8 Feb 2023 ,ERC20,,,,USDT,,,8 Feb 2023,2023-02-08,1,pine,pine
9885,Neon,45000000.0,"$45,000,000 (100%) ",Governance,Blockchain Service,45000000.0,"1,000,000,000","
Very High ",5000000.0,8 Jun – 15 Jun, 1 NEON = 0.1 USD ,45000000.0,Ended: 15 Jun 2023 ,ERC20,5%,$100 / $500,,"USDT, USDC",,,15 Jun 2023,2023-06-15,1,neon,neon
9886,CyberConnect,30400000.0,,Utility,Protocol,,"100,000,000","
Very High ",3000000000.0,18 May – 24 May, 1 CYBER = 1.80 USD ,30400000.0,Ended: 24 May 2023 ,ERC20,"28,12%",,,USDT,,"Afghanistan, Canada, Central African Republic, China, Congo, Cote D’Ivoire, Cuba, Iran, Korea, Lebanon, Liberia, Myanmar, Somalia, South Korea, South Sudan, Sudan, Syria, USA, Venezuela, Yemen, Zimbabwe",24 May 2023,2023-05-24,0,cyberconnect,cyberconnect
9887,SUI ,52000000.0,,Utility,Platform,,,"
Very High ",,Market & Returns,,52000000.0,Ended: 3 May 2023 ,,,,,,,,3 May 2023,2023-05-03,0,sui,sui
9888,Republic Note,49000000.0,,"335 Madison Avenue, Suite 7E, New York, NY 10017",Investment,,,"
High ",,Market & Returns,,49000000.0,Ended: 1 May 2023 ,,,,,,,,1 May 2023,2023-05-01,0,republicnote,republicnote
9889,Arbitrum,123700000.0,,Utility,Blockchain Service,,"10,000,000,000","
Very High ",,24 Jun – 23 Mar,,123700000.0,Ended: 23 Mar 2023 ,ERC20,,,,USDT,,,23 Mar 2023,2023-03-23,0,arbitrum,arbitrum
9890,Iron Fish,32900000.0,,Utility,Blockchain Service,,,Ticker: IRON,,until 1 Mar,,32900000.0,Ended: 1 Mar 2023 ,ERC20,,,,USDT,,,1 Mar 2023,2023-03-01,0,ironfish,ironfish
9891,ECO ,35000000.0,,Utility,Blockchain Service,,,"
Very High ",,Market & Returns,,35000000.0,Ended: 8 Nov 2022 ,,,,,,,,8 Nov 2022,2022-11-08,0,eco,eco
9892,Aptos ,350000000.0,,Utility,Blockchain Service,,,,,until 17 Oct,,350000000.0,Ended: 17 Oct 2022 ,ERC20,,,,USDT,,,17 Oct 2022,2022-10-17,0,aptos,aptos
9893,Project Galaxy,25000000.0,"$25,000,000 (100%) ",Utility,Blockchain Service,25000000.0,"200,000,000","
High ",10000000000.0,29 Apr – 28 May, 1 GAL = 1.5 USD ,25000000.0,Ended: 28 May 2022 ,ERC20,,$100 / $500,"Yes (10 Feb – 15 Feb, ","ETH, BTC, USDT, USDC",,,28 May 2022,2022-05-28,0,projectgalaxy,projectgalaxy
9894,CowSwap,23000000.0,,Utility,Exchange,,"1,000,000,000",Ticker: COW,,until 30 Apr,,23000000.0,Ended: 30 Apr 2022 ,ERC20,,,,USDT,,,30 Apr 2022,2022-04-30,0,cowswap,cowswap
9895,Axelar,75000000.0,"$75,000,000 (100%) ",Utility,Network,75000000.0,"1,000,000,000",Ticker: AXL,50000000000.0,9 Mar – 16 Mar, 1 AXL = 1 USD ,75000000.0,Ended: 16 Mar 2022 ,ERC20,5%,100$ / 750$,,"ETH, BTC, USDT, USDC",,"Canada, China, Crimea region, Cuba, Iran, Korea, North Korea, Syria, US non-accredited investors",16 Mar 2022,2022-03-16,0,axelar,axelar
9896,Stader Labs,40015000.0,"$40,020,000 (100%) ",Utility,Blockchain Service,40020000.0,,"
High ",,Market & Returns,,40015000.0,Ended: 15 Mar 2022 ,,,,,,,,15 Mar 2022,2022-03-15,0,staderlabs,staderlabs
9897,Nym,53250000.0,"$53,250,000 (100%) ",Utility,Protocol,53250000.0,,"
Very High ",,Market & Returns,,53250000.0,Ended: 16 Feb 2022 ,,,,,,,,16 Feb 2022,2022-02-16,0,nym,nym
9898,Merit Circle,110000000.0,,Utility,Blockchain Service,,,"
High ",,Market & Returns,,110000000.0,Ended: 31 Jan 2022 ,,,,,,,,31 Jan 2022,2022-01-31,0,meritcircle,meritcircle
9899,Colony,9900000.0,,Governance,Protocol,,,"
High ",,Market & Returns,,9900000.0,Ended: 28 Jan 2022 ,,,,,,,,28 Jan 2022,2022-01-28,0,colony,colony
9900,Starly.io,6325000.0,"$6,330,000 (100%) ",Utility,Blockchain Service,6330000.0,,"
High ",,Market & Returns,,6325000.0,Ended: 21 Jan 2022 ,,,,,,,,21 Jan 2022,2022-01-21,0,starlyio,starlyio
9901,Goldfinch Finance,36000000.0,,Utility,DeFi,,,"
Very High ",,1 Oct – 11 Jan,,36000000.0,Ended: 11 Jan 2022 ,ERC20,,,,USDT,,,11 Jan 2022,2022-01-11,0,goldfinchfinance,goldfinchfinance
9902,Agoric,90250000.0,"$90,250,000 (100%) ",Utility,Blockchain Service,90250000.0,,Ticker: BLD,70000000000.0,29 Dec – 5 Jan, 1 BLD = 0.8 USD ,90250000.0,Ended: 5 Jan 2022 ,Own blockchain,,$100 / $1000,"Yes (until 27 Dec, ",,,"Canada, China, South Korea, USA",5 Jan 2022,2022-01-05,0,agoric,agoric
9903,pSTAKE,20000000.0,"$20,000,000 (100%) ",Governance,Protocol,20000000.0,,"
High ",,Market & Returns,,20000000.0,Ended: 23 Dec 2021 ,,,,,,,,23 Dec 2021,2021-12-23,0,pstake,pstake
9904,Gearbox Protocol,11350000.0,,Governance,Protocol,,"10,000,000,000","
Very High ",500000000000.0,16 Dec – 17 Dec, 1 GEAR = 0.0144 USD ,11350000.0,Ended: 17 Dec 2021 ,ERC20,5%,100000 GEAR / 100000 GEAR,,,,,17 Dec 2021,2021-12-17,0,gearboxprotocol,gearboxprotocol
9905,BENQI,10000000.0,,Utility,Protocol,,,"
High ",,Market & Returns,,10000000.0,Ended: 15 Dec 2021 ,,,,,,,,15 Dec 2021,2021-12-15,0,benqi,benqi
9906,Voxies Tactics,6000000.0,"$6,000,000 (100%) ",Utility,Gaming,6000000.0,,"
High ",,Market & Returns,,6000000.0,Ended: 14 Dec 2021 ,,,,,,,,14 Dec 2021,2021-12-14,0,voxiestactics,voxiestactics
9907,Lumerin,15000000.0,"$60,000,000 (25%) ",Utility,Protocol,60000000.0,,"
High ",,Market & Returns,,15000000.0,Ended: 8 Dec 2021 ,,,,,,,,8 Dec 2021,2021-12-08,0,lumerin,lumerin
9908,Umee,38300000.0,"$38,300,000 (100%) ",Utility,DeFi,38300000.0,,"
High ",,Market & Returns,,38300000.0,Ended: 8 Dec 2021 ,,,,,,,,8 Dec 2021,2021-12-08,0,umee,umee
9909,GuildFi,6000000.0,,Utility,Platform,,,"
High ",,Market & Returns,,6000000.0,Ended: 4 Dec 2021 ,,,,,,,,4 Dec 2021,2021-12-04,0,guildfi,guildfi
9910,Biconomy,21100000.0,"$21,100,000 (100%) ",Utility,Blockchain Service,21100000.0,,"
Very High ",,Market & Returns,,21100000.0,Ended: 1 Dec 2021 ,,,,,,,,1 Dec 2021,2021-12-01,0,biconomy,biconomy
9911,Mines Of Dalarnia,2700000.0,,Utility,Gaming,,,"
Very High ",,Market & Returns,,2700000.0,Ended: 27 Nov 2021 ,,,,,,,,27 Nov 2021,2021-11-27,0,minesofdalarnia,minesofdalarnia
9912,MonoX,5400000.0,"$5,400,000 (100%) ",Governance,DEX,5400000.0,,"
High ",,Market & Returns,,5400000.0,Ended: 25 Nov 2021 ,,,,,,,,25 Nov 2021,2021-11-25,0,monox,monox
9913,Aurora,13000000.0,"$13,000,000 (100%) ",Utility,Blockchain Service,13000000.0,,"
Very High ",,Market & Returns,,13000000.0,Ended: 18 Nov 2021 ,,,,,,,,18 Nov 2021,2021-11-18,0,aurora,aurora
9914,Guild of Guardians,5500000.0,"$5,500,000 (100%) ",Utility,Gaming,5500000.0,,"
Very High ",,Market & Returns,,5500000.0,Ended: 17 Nov 2021 ,,,,,,,,17 Nov 2021,2021-11-17,0,guildofguardians,guildofguardians
9915,Cere Network,37700000.0,"$37,700,000 (100%) ",Utility,Data Service,37700000.0,,"
High ",,Market & Returns,,37700000.0,Ended: 8 Nov 2021 ,,,,,,,,8 Nov 2021,2021-11-08,0,cerenetwork,cerenetwork
9916,Ardana,11000000.0,"$11,000,000 (100%) ",Utility,Blockchain Service,11000000.0,,"
High ",,Market & Returns,,11000000.0,Ended: 5 Nov 2021 ,,,,,,,,5 Nov 2021,2021-11-05,0,ardana,ardana
9917,Swash,12000000.0,"$12,000,000 (100%) ",Utility,Blockchain Service,12000000.0,"1,000,000,000",Ticker: SWASH,50000000000.0,29 Oct – 30 Oct, 1 SWASH = 0.09 USD ,12000000.0,Ended: 30 Oct 2021 ,ERC20,,,"Yes (11 Oct – 25 Oct, ",,,"Afghanistan, Bosnia and Herzegovina, Central African Republic, Congo, Cuba, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, Lebanon, Libya, Somalia, South Sudan, Syria, Uganda, USA, Vanuatu, Yemen",30 Oct 2021,2021-10-30,0,swash,swash
9918,Clearpool,3100000.0,"$3,100,000 (100%) ",Utility,Blockchain Service,3100000.0,,"
High ",,Market & Returns,,3100000.0,Ended: 27 Oct 2021 ,,,,,,,,27 Oct 2021,2021-10-27,0,clearpool,clearpool
9919,Aurory,108800000.0,"$108,850,000 (100%) ",Utility,Gaming,108850000.0,,"
High ",,Market & Returns,,108800000.0,Ended: 24 Oct 2021 ,,,,,,,,24 Oct 2021,2021-10-24,0,aurory,aurory
9920,Gods Unchained,25320000.0,"$25,320,000 (100%) ",Utility,Gaming,25320000.0,"200,000,000",Ticker: GODS,35000000000.0,13 Oct – 20 Oct, 1 GODS = 0.336 USD ,25320000.0,Ended: 20 Oct 2021 ,ERC20,,$100 / $500 ,,"ETH, BTC, USDT, USDC",,"Australia, Canada, China, US non-accredited investors",20 Oct 2021,2021-10-20,0,godsunchained,godsunchained
9921,Blocto,1500000.0,"$1,500,000 (100%) ",Utility,Blockchain Platform,1500000.0,,"
High ",,Market & Returns,,1500000.0,Ended: 1 Oct 2021 ,,,,,,,,1 Oct 2021,2021-10-01,0,blocto,blocto
9922,Divergence,6600000.0,"$6,600,000 (100%) ",Utility,Platform,6600000.0,,"
High ",,Market & Returns,,6600000.0,Ended: 28 Sep 2021 ,,,,,,,,28 Sep 2021,2021-09-28,0,divergence,divergence
9923,handle.fi,4410000.0,"$4,410,000 (100%) ",Utility,Protocol,4410000.0,,"
High ",,Market & Returns,,4410000.0,Ended: 23 Sep 2021 ,,,,,,,,23 Sep 2021,2021-09-23,0,handlefi,handlefi
9924,Braintrust,12450000.0,"$12,450,000 (100%) ",Utility,Network,12450000.0,,"
High ",,Market & Returns,,12450000.0,Ended: 17 Sep 2021 ,,,,,,,,17 Sep 2021,2021-09-17,0,braintrust,braintrust
9925,Gelato,16000000.0,"$16,000,000 (100%) ",Utility,Network,16000000.0,,"
High ",,Market & Returns,,16000000.0,Ended: 16 Sep 2021 ,,,,,,,,16 Sep 2021,2021-09-16,0,gelato,gelato
9926,Immutable X,13000000.0,"$13,000,000 (100%) ",Utility,Protocol,13000000.0,,"
Very High ",,Market & Returns,,13000000.0,Ended: 15 Sep 2021 ,,,,,,,,15 Sep 2021,2021-09-15,0,immutablex,immutablex
9927,Acala Network,92500000.0,"$92,500,000 (100%) ",Utility,Governance Token,92500000.0,"1,000,000,000",Ticker: ACA,,30 Aug – 5 Sep, 1 ACA = 1 USD ,92500000.0,Ended: 5 Sep 2021 ,Own blockchain,,,"Yes (since 15 Aug, ","ETH, USDC, DOT",,"China, Crimea region, Cuba, Iran, New Zealand, North Korea, Syria, Ukraine, US non-accredited investors",5 Sep 2021,2021-09-05,0,acalanetwork,acalanetwork
9928,Star Atlas,1000000.0,"$1,000,000 (100%) ",Utility,Gaming,1000000.0,,"
High ",,Market & Returns,,1000000.0,Ended: 2 Sep 2021 ,,,,,,,,2 Sep 2021,2021-09-02,0,staratlas,staratlas
9929,OpenSwap,1850000.0,"$1,850,000 (100%) ",Utility,DeFi,1850000.0,,"
High ",,Market & Returns,,1850000.0,Ended: 31 Aug 2021 ,,,,,,,,31 Aug 2021,2021-08-31,0,openswap,openswap
9930,BitDAO,632000000.0,,Utility,Blockchain Service,,,"
High ",,Market & Returns,,632000000.0,Ended: 17 Aug 2021 ,,,,,,,,17 Aug 2021,2021-08-17,0,bitdao,bitdao
9931,Lithium,8100000.0,"$8,100,000 (100%) ",Utility,Protocol,8100000.0,"10,000,000,000",Ticker: LITH,33333333000.0,5 Aug – 5 Aug, 1 LITH = 0.006 USD ,8100000.0,Ended: 5 Aug 2021 ,ERC20,"19,8%",,,,,"Afghanistan, Albania, Burundi, China, Comoros, Cuba, Ethiopia, Hong Kong, Iran, Iraq, North Korea, Pakistan, Sri Lanka, Syria, Trinidad, Tobago, Tunisia, USA, Venezuela, Yemen",5 Aug 2021,2021-08-05,0,lithium,lithium
9932,Qredo,28250000.0,"$28,250,000 (100%) ",Utility,Blockchain Service,28250000.0,,"
High ",,Market & Returns,,28250000.0,Ended: 9 Jul 2021 ,,,,,,,,9 Jul 2021,2021-07-09,0,qredo,qredo
9933,Efinity,38900000.0,"$38,900,000 (100%) ",Utility,Blockchain Service,38900000.0,,"
High ",,Market & Returns,,38900000.0,Ended: 25 Jun 2021 ,,,,,,,,25 Jun 2021,2021-06-25,0,efinity,efinity
9934,Vega Protocol,59750000.0,"$59,750,000 (100%) ",Utility,Protocol,59750000.0,,"
High ",,Market & Returns,,59750000.0,Ended: 3 Jun 2021 ,,,,,,,,3 Jun 2021,2021-06-03,0,vegaprotocol,vegaprotocol
