unnamed: 0,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money.1,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate,end_date_clean,end_date_parsed,ico_successful,name_std,symbol_std
5584,Reign of Terror,2670000.0,"$2,670,000 (100%) ",Utility,Gaming,2670000.0,"2,000,000,000",Not Rated,375000.0,4 Apr – 12 Apr, 1 REIGN = 0.0125 USD ,2670000.0,Ended: 12 Apr 2023 ,Solana,"14,5%",,,USDT,,,12 Apr 2023,2023-04-12,1,reignofterror,reignofterror
5585,Reality Metaverse,750000.0,,Utility,Blockchain Service,,"1,000,000,000",Not Rated,700000.0,5 Apr – 11 Apr, 1 RLTM = 0.04 USD ,750000.0,Ended: 11 Apr 2023 ,Polygon,22%,,,USDT,,,11 Apr 2023,2023-04-11,1,realitymetaverse,realitymetaverse
5586,Delysium,14000000.0,,Utility,Gaming,,"3,000,000,000",Not Rated,20000.0,10 Apr – 11 Apr, 1 AGI = 0.033 USD ,14000000.0,Ended: 11 Apr 2023 ,ERC20,20%,,,USDT,,,11 Apr 2023,2023-04-11,1,delysium,delysium
5587,Moovy,3610000.0,"$3,610,000 (100%) ",Utility,Gaming,3610000.0,"100,000,000",Not Rated,50000.0,30 Mar – 11 Apr, 1 MOIL = 0.37 USD ,3610000.0,Ended: 11 Apr 2023 ,BEP-20,27%,,,USDT,,,11 Apr 2023,2023-04-11,1,moovy,moovy
5588,KryptAI,100000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,221700000000.0,31 Mar – 9 Apr, 1 KAI = 0.000857 USD ,100000.0,Ended: 9 Apr 2023 ,Own blockchain,35%,,,USDT,,,9 Apr 2023,2023-04-09,0,kryptai,kryptai
5589,Pomerium,20000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,,until 9 Apr,,20000000.0,Ended: 9 Apr 2023 ,BEP-20,,,,,,,9 Apr 2023,2023-04-09,0,pomerium,pomerium
5590,ChainGPT,905000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,720000.0,5 Apr – 8 Apr, 1 CGPT = 0.008 USD ,905000.0,Ended: 8 Apr 2023 ,BEP-20,19%,,,USDT,,,8 Apr 2023,2023-04-08,1,chaingpt,chaingpt
5591,Glory Finance,3500000.0,,Utility,DeFi,,"150,000,000",Not Rated,175000.0,4 Apr – 8 Apr, 1 GLR = 0.8 USD ,3500000.0,Ended: 8 Apr 2023 ,BEP-20,10%,,,USDT,,,8 Apr 2023,2023-04-08,1,gloryfinance,gloryfinance
5592,Arken Finance,,,Utility,Blockchain Service,,"10,000,000,000",Not Rated,2250000.0,3 Apr – 6 Apr, 1 ARKEN = 0.004 USD ,,Ended: 6 Apr 2023 ,Own blockchain,,,,USDT,,,6 Apr 2023,2023-04-06,0,arkenfinance,arkenfinance
5593,Stella Fantasy,5000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,150000.0,4 Apr – 5 Apr, 1 SFTY = 0.1 USD ,5000000.0,Ended: 5 Apr 2023 ,ERC20,"13,2%",,,USDT,,,5 Apr 2023,2023-04-05,1,stellafantasy,stellafantasy
